id,productId,inventoryId,status,message,createdAt
pPWSPVGTLmT7Zn3Pv2Ug,4260613494504,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765749695,""_nanoseconds"":735000000}"
pQoEzp7belm4xxtNemB3,YY-4RPW-M2TR,85403,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 23:56:37","{""_seconds"":1765492046,""_nanoseconds"":859000000}"
pQruBgaoDbcXZYUcfRXf,4019336589644,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765755493,""_nanoseconds"":742000000}"
pSyAt61O8VHHrhmy59Fc,1626175215014,85404,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 23:56:37","{""_seconds"":1765492401,""_nanoseconds"":145000000}"
pXDsEYgzkiGY18nDM7Zw,4063425163489,85403,success,Successfully synced to BaseLinker,"{""_seconds"":1765733901,""_nanoseconds"":933000000}"
pYSsTJgcCrCJ0t800wcB,9014400281687,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765759264,""_nanoseconds"":472000000}"
pZdde8LX9LGEZ0dn59j1,8445110446065,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765751263,""_nanoseconds"":986000000}"
pZsVRTErptDKTIL7kS6F,197634001401,84529,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 13:20:09","{""_seconds"":1765455092,""_nanoseconds"":694000000}"
pcMauJWEKZBCWrXCcekX,4063217299953,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1766339212,""_nanoseconds"":38000000}"
pcWw6FWVbH3LBDlIJBU4,4061418025265,84529,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-10 10:48:39","{""_seconds"":1765359594,""_nanoseconds"":77000000}"
pgjqH2W3HZ9YUE02xdPz,4067904336044,85404,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 20:12:15","{""_seconds"":1765479776,""_nanoseconds"":544000000}"
phpMWf1N1wYXuVK3A0Lk,SKU-1782951292,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1766338164,""_nanoseconds"":883000000}"
piOszkeiUKzIszCH6ZoB,726121ea-fdad-41e5-859d-0e9e1b9c50b1,85403,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 23:56:37","{""_seconds"":1765492452,""_nanoseconds"":814000000}"
piW3TupJopjBRE1AqQ1k,SKU-1961998362,78659,failed,BaseLinker request failed after retries,"{""_seconds"":1766082044,""_nanoseconds"":311000000}"
pjFxnH0luWx4d01uIWzp,85010130,84529,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-10 10:34:55","{""_seconds"":1765358945,""_nanoseconds"":596000000}"
psl0egUOFca4PbNKwxIw,SKU-9912977908,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1766338869,""_nanoseconds"":111000000}"
puNZrUvfA8hVzSaSeFEN,SKU-3566484007,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1766337995,""_nanoseconds"":139000000}"
pydNrMOL94GsJgBfB0El,3cab2925-3136-4d57-b76a-c4ba5e886594,85403,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 23:56:37","{""_seconds"":1765492428,""_nanoseconds"":148000000}"
