id,ean,productId,updated_at,baseProductId,sku
sku:2123165909,6440891157249,SKU-2123165909,2025-12-21T17:37:19.887Z,462109943,SKU-2123165909
sku:2135446963,,7e83322c-3ad7-4210-bcfb-8069ae09aa03,2025-12-15T00:34:22.710Z,458514654,SKU-2135446963
sku:2151943751,9002592485129,9002592485129,2025-12-14T23:44:16.712Z,458470102,SKU-2151943751
sku:2152217706,4000530685841,SKU-2152217706,2025-12-18T18:52:12.739Z,459794734,SKU-2152217706
sku:2384085318,4052212121253,4052212121253,2025-12-15T00:02:19.324Z,458456175,SKU-2384085318
sku:2388529978,8718891015547,8718309101547,2025-12-14T23:42:32.822Z,458469510,SKU-2388529978
sku:2431535372,4262405220148,4262405220148,2025-12-21T19:42:25.557Z,465274669,SKU-2431535372
sku:2561166298,4260325431309,4260325431309,2025-12-14T23:33:27.953Z,458459208,SKU-2561166298
sku:2566552410,4013288165657,3cab2925-3136-4d57-b76a-c4ba5e886594,2025-12-11T00:50:22.397Z,455807576,SKU-2566552410
sku:2621538468,4062861006757,brandson-windmaschine-30cm-unknown-ean,2025-12-14T23:46:32.613Z,449826140,SKU-2621538468
sku:2633108165,9001778309730,SKU-2633108165,2025-12-21T17:37:21.967Z,465090922,SKU-2633108165
sku:2638580995,,BB-0046-03-01,2025-12-15T00:42:51.308Z,449822798,SKU-2638580995
sku:2690684566,4011558327507,SKU-2690684566,2025-12-21T17:38:55.475Z,465094422,SKU-2690684566
sku:2724878095,4013556577076,4013556577076,2025-12-21T03:48:46.668Z,464298793,SKU-2724878095
sku:2789683373,4061474039602,brandson-wdp-301480,2025-12-14T23:46:31.914Z,449825783,SKU-2789683373
sku:2801069572,8052694010041,8052694010041,2025-12-21T19:45:38.977Z,465278478,SKU-2801069572
sku:2804135383,07445038719723,SKU-2804135383,2025-12-21T17:38:52.973Z,462138578,SKU-2804135383
sku:2841208491,9783965940628,9783965940628,2025-12-15T00:04:03.755Z,458476579,SKU-2841208491
sku:2859032659,4009384341071,4009384341071,2025-12-21T19:40:15.052Z,465272140,SKU-2859032659
sku:3046032177,6972200196132,SKU-3046032177,2025-12-17T02:51:39.037Z,449825443,SKU-3046032177
sku:3047799035,4003318877841,SKU-3047799035,2025-12-21T17:34:47.026Z,465085103,SKU-3047799035
sku:3086033338,3306437248600,9900201693232,2025-12-14T23:37:07.322Z,458477182,SKU-3086033338
sku:3093460977,20001500,KDF-5517DTW,2025-12-15T00:46:06.750Z,449823262,SKU-3093460977
sku:3149269291,,nidec-445-0765157A,2025-12-15T00:49:22.799Z,449822230,SKU-3149269291
sku:3178068699,4045516002427,d26c1381-e411-4bd2-a9fd-fdd8e408a28a,2025-12-21T18:56:46.193Z,465217929,SKU-3178068699
sku:3210037840,4058473411560,SKU-3210037840,2025-12-21T17:40:49.860Z,465097958,SKU-3210037840
sku:3368481451,4067983135699,SKU-3368481451,2025-12-17T02:31:56.725Z,458974976,SKU-3368481451
sku:3442148631,11805620,d2649d99-ae7a-4b45-bca9-e6c452843d93,2025-12-21T17:48:24.700Z,465110466,SKU-3442148631
sku:3566484007,91120092210987,SKU-3566484007,2025-12-21T17:26:35.062Z,465066047,SKU-3566484007
sku:3586300359,4016417025303,4016417025303,2025-12-21T17:49:51.628Z,465112806,SKU-3586300359
sku:3588671475,4710069708958,4710069708958,2025-12-15T00:08:54.422Z,449821152,SKU-3588671475
sku:3622017850,0663961054064,SKU-3622017850,2025-12-18T18:52:18.339Z,459966535,SKU-3622017850
sku:3692000771,8720828172452,8720828172452,2025-12-21T19:47:32.152Z,465280616,SKU-3692000771
sku:3734657776,4059625316207,SKU-3734657776,2025-12-18T19:30:09.339Z,459736332,SKU-3734657776
sku:3783198734,4014701024414,SKU-3783198734,2025-12-21T17:40:47.256Z,462181816,SKU-3783198734
sku:3818412905,3346130009603,SKU-3818412905,2025-12-24T19:14:56.213Z,458453067,SKU-3818412905
sku:3963918245,6431619024,6431619024,2025-12-15T00:33:19.672Z,458514311,SKU-3963918245
sku:3992211748,9523709033415,SKU-3992211748,2025-12-22T15:40:55.923Z,458974959,SKU-3992211748
sku:4008377248,4262403770898,315ecb79-6893-4245-8804-265ddd68e97f,2025-12-14T23:23:40.081Z,458453056,SKU-4008377248
sku:4069701323,9014400103538,9014400103538,2025-12-15T00:44:48.861Z,458470423,SKU-4069701323
